id,ride_style,speed,poster,staff,time,is_female,is_staff,is_raining,day,week,total_passenger,total_passenger_per_minute
169,ls,0,0,0,47,0,0,0,Mon,1,351,37
170,rw,0,0,0,47,0,0,0,Mon,1,351,37
171,rw,0,0,0,47,1,0,0,Mon,1,351,37
172,ls,0,0,0,47,1,0,0,Mon,1,351,37
173,ls,0,0,0,47,1,0,0,Mon,1,351,37
174,ls,0,0,0,47,1,0,0,Mon,1,351,37
175,ls,0,0,0,47,1,0,0,Mon,1,351,37
176,ls,0,0,0,47,1,0,0,Mon,1,351,37
177,ls,0,0,0,47,1,0,0,Mon,1,351,37
178,ls,0,0,0,47,1,0,0,Mon,1,351,37
179,ls,0,0,0,47,1,0,0,Mon,1,351,37
180,ls,0,0,0,47,1,0,0,Mon,1,351,37
181,ls,0,0,0,48,0,0,0,Mon,1,351,24
182,ls,0,0,0,48,0,0,0,Mon,1,351,24
183,ls,0,0,0,48,0,0,0,Mon,1,351,24
184,ls,0,0,0,48,0,0,0,Mon,1,351,24
185,ls,0,0,0,48,0,0,0,Mon,1,351,24
186,ls,0,0,0,48,0,0,0,Mon,1,351,24
187,ls,0,0,0,48,0,0,0,Mon,1,351,24
188,ls,0,0,0,48,1,0,0,Mon,1,351,24
189,ls,0,0,0,48,1,0,0,Mon,1,351,24
190,ls,0,0,0,48,1,0,0,Mon,1,351,24
191,ls,0,0,0,48,1,0,0,Mon,1,351,24
192,ls,0,0,0,48,0,0,0,Mon,1,351,24
193,ls,0,0,0,48,0,0,0,Mon,1,351,24
194,rw,0,0,0,48,0,0,0,Mon,1,351,24
195,ls,0,0,0,48,1,0,0,Mon,1,351,24
196,ls,0,0,0,48,1,0,0,Mon,1,351,24
197,ls,0,0,0,48,1,0,0,Mon,1,351,24
198,ls,0,0,0,48,1,0,0,Mon,1,351,24
199,ls,0,0,0,48,1,0,0,Mon,1,351,24
200,ls,0,0,0,48,0,0,0,Mon,1,351,24
201,ls,0,0,0,48,1,0,0,Mon,1,351,24
202,ls,0,0,0,48,0,0,0,Mon,1,351,24
203,ls,0,0,0,48,1,0,0,Mon,1,351,24
204,ls,0,0,0,48,0,0,0,Mon,1,351,24
205,ls,0,0,0,49,1,0,0,Mon,1,351,28
206,ls,0,0,0,49,1,0,0,Mon,1,351,28
207,ls,0,0,0,49,1,0,0,Mon,1,351,28
208,ls,0,0,0,49,1,0,0,Mon,1,351,28
209,ls,0,0,0,49,1,0,0,Mon,1,351,28
210,ls,0,0,0,49,0,0,0,Mon,1,351,28
211,ls,0,0,0,49,1,0,0,Mon,1,351,28
212,ls,0,0,0,49,1,0,0,Mon,1,351,28
213,ls,0,0,0,49,0,0,0,Mon,1,351,28
214,ls,0,0,0,49,1,0,0,Mon,1,351,28
215,ls,0,0,0,49,1,0,0,Mon,1,351,28
216,ls,0,0,0,49,0,0,0,Mon,1,351,28
217,rw,0,0,0,49,0,0,0,Mon,1,351,28
218,ls,0,0,0,49,1,0,0,Mon,1,351,28
219,ls,0,0,0,49,1,0,0,Mon,1,351,28
220,ls,0,0,0,49,0,0,0,Mon,1,351,28
221,ls,0,0,0,49,1,0,0,Mon,1,351,28
222,ls,0,0,0,49,1,0,0,Mon,1,351,28
223,ls,0,0,0,49,1,0,0,Mon,1,351,28
224,ls,0,0,0,49,1,0,0,Mon,1,351,28
225,ls,0,0,0,49,1,0,0,Mon,1,351,28
226,rw,0,0,0,49,1,0,0,Mon,1,351,28
227,ls,0,0,0,49,1,0,0,Mon,1,351,28
228,ls,0,0,0,49,1,0,0,Mon,1,351,28
229,ls,0,0,0,49,1,0,0,Mon,1,351,28
230,ls,0,0,0,49,1,0,0,Mon,1,351,28
231,ls,0,0,0,49,1,0,0,Mon,1,351,28
232,ls,0,0,0,49,1,0,0,Mon,1,351,28
233,ls,0,0,0,50,1,0,0,Mon,1,351,10
234,ls,0,0,0,50,0,0,0,Mon,1,351,10
235,ls,0,0,0,50,0,0,0,Mon,1,351,10
236,ls,0,0,0,50,0,0,0,Mon,1,351,10
237,rw,0,0,0,50,1,0,0,Mon,1,351,10
238,rw,0,0,0,50,1,0,0,Mon,1,351,10
239,ls,0,0,0,50,1,0,0,Mon,1,351,10
240,rw,0,0,0,50,1,0,0,Mon,1,351,10
241,rw,0,0,0,50,0,0,0,Mon,1,351,10
242,ls,0,0,0,50,1,0,0,Mon,1,351,10
243,ls,0,0,0,51,1,0,0,Mon,1,351,27
244,ls,0,0,0,51,1,0,0,Mon,1,351,27
245,ls,0,0,0,51,1,0,0,Mon,1,351,27
246,ls,0,0,0,51,1,0,0,Mon,1,351,27
247,ls,0,0,0,51,1,0,0,Mon,1,351,27
248,ls,0,0,0,51,1,0,0,Mon,1,351,27
249,ls,0,0,0,51,1,0,0,Mon,1,351,27
250,ls,0,0,0,51,1,0,0,Mon,1,351,27
251,ls,0,0,0,51,0,0,0,Mon,1,351,27
252,rw,0,0,0,51,1,0,0,Mon,1,351,27
253,rw,0,0,0,51,0,0,0,Mon,1,351,27
254,ls,0,0,0,51,0,0,0,Mon,1,351,27
255,ls,0,0,0,51,1,0,0,Mon,1,351,27
256,ls,0,0,0,51,0,0,0,Mon,1,351,27
257,ls,0,0,0,51,0,0,0,Mon,1,351,27
258,rw,0,0,0,51,0,0,0,Mon,1,351,27
259,rw,0,0,0,51,1,0,0,Mon,1,351,27
260,ls,0,0,0,51,1,0,0,Mon,1,351,27
261,ls,0,0,0,51,0,0,0,Mon,1,351,27
262,ls,0,0,0,51,0,0,0,Mon,1,351,27
263,ls,0,0,0,51,0,0,0,Mon,1,351,27
264,ls,0,0,0,51,1,0,0,Mon,1,351,27
265,ls,0,0,0,51,1,0,0,Mon,1,351,27
266,ls,0,0,0,51,1,0,0,Mon,1,351,27
267,ls,0,0,0,51,0,0,0,Mon,1,351,27
268,ls,0,0,0,51,1,0,0,Mon,1,351,27
269,ls,0,0,0,51,1,0,0,Mon,1,351,27
270,rw,0,0,0,52,1,0,0,Mon,1,351,25
271,ls,0,0,0,52,1,0,0,Mon,1,351,25
272,rs,0,0,0,52,1,0,0,Mon,1,351,25
273,ls,0,0,0,52,1,0,0,Mon,1,351,25
274,ls,0,0,0,52,1,0,0,Mon,1,351,25
275,ls,0,0,0,52,1,0,0,Mon,1,351,25
276,ls,0,0,0,52,0,0,0,Mon,1,351,25
277,ls,0,0,0,52,1,0,0,Mon,1,351,25
278,ls,0,0,0,52,1,0,0,Mon,1,351,25
279,ls,0,0,0,52,1,0,0,Mon,1,351,25
280,rw,0,0,0,52,0,0,0,Mon,1,351,25
281,lw,0,0,0,52,1,0,0,Mon,1,351,25
282,ls,0,0,0,52,0,0,0,Mon,1,351,25
283,ls,0,0,0,52,1,0,0,Mon,1,351,25
284,ls,0,0,0,52,1,0,0,Mon,1,351,25
285,ls,0,0,0,52,0,0,0,Mon,1,351,25
286,ls,0,0,0,52,1,0,0,Mon,1,351,25
287,rw,0,0,0,52,1,0,0,Mon,1,351,25
288,rw,0,0,0,52,1,0,0,Mon,1,351,25
289,rw,0,0,0,52,0,0,0,Mon,1,351,25
290,ls,0,0,0,52,1,0,0,Mon,1,351,25
291,rw,0,0,0,52,0,0,0,Mon,1,351,25
292,lw,0,0,0,52,1,0,0,Mon,1,351,25
293,rw,0,0,0,52,0,0,0,Mon,1,351,25
294,lw,0,0,0,52,0,0,0,Mon,1,351,25
295,lw,0,0,0,53,1,0,0,Mon,1,351,22
296,ls,0,0,0,53,0,0,0,Mon,1,351,22
297,ls,0,0,0,53,1,0,0,Mon,1,351,22
298,rw,0,0,0,53,0,0,0,Mon,1,351,22
299,ls,0,0,0,53,1,0,0,Mon,1,351,22
300,ls,0,0,0,53,0,0,0,Mon,1,351,22
301,rw,0,0,0,53,0,0,0,Mon,1,351,22
302,lw,0,0,0,53,0,0,0,Mon,1,351,22
303,rw,0,0,0,53,1,0,0,Mon,1,351,22
304,rw,0,0,0,53,0,0,0,Mon,1,351,22
305,rw,0,0,0,53,0,0,0,Mon,1,351,22
306,rw,0,0,0,53,1,0,0,Mon,1,351,22
307,rw,0,0,0,53,1,0,0,Mon,1,351,22
308,rw,0,0,0,53,1,0,0,Mon,1,351,22
309,lw,0,0,0,53,1,0,0,Mon,1,351,22
310,rw,0,0,0,53,0,0,0,Mon,1,351,22
311,rw,0,0,0,53,1,0,0,Mon,1,351,22
312,rw,0,0,0,53,0,0,0,Mon,1,351,22
313,ls,0,0,0,53,0,0,0,Mon,1,351,22
314,ls,0,0,0,53,1,0,0,Mon,1,351,22
315,ls,0,0,0,53,0,0,0,Mon,1,351,22
316,rw,0,0,0,53,1,0,0,Mon,1,351,22
317,rw,0,0,0,54,0,0,0,Mon,1,351,4
318,lw,0,0,0,54,1,0,0,Mon,1,351,4
319,lw,0,0,0,54,1,0,0,Mon,1,351,4
320,rw,0,0,0,54,0,0,0,Mon,1,351,4
321,rw,0,0,0,55,1,0,0,Mon,1,351,9
322,rw,0,0,0,55,1,0,0,Mon,1,351,9
323,ls,0,0,0,55,1,0,0,Mon,1,351,9
324,ls,0,0,0,55,1,0,0,Mon,1,351,9
325,ls,0,0,0,55,0,0,0,Mon,1,351,9
326,ls,0,0,0,55,0,0,0,Mon,1,351,9
327,ls,0,0,0,55,0,0,0,Mon,1,351,9
328,ls,0,0,0,55,1,0,0,Mon,1,351,9
329,ls,0,0,0,55,1,0,0,Mon,1,351,9
330,rw,0,0,0,56,0,0,0,Mon,1,351,4
331,ls,0,0,0,56,1,0,0,Mon,1,351,4
332,lw,0,0,0,56,0,0,0,Mon,1,351,4
333,lw,0,0,0,56,1,0,0,Mon,1,351,4
334,lw,0,0,0,57,1,0,0,Mon,1,351,3
335,ls,0,0,0,57,1,0,0,Mon,1,351,3
336,ls,0,0,0,57,1,0,0,Mon,1,351,3
337,lw,0,0,0,58,0,0,0,Mon,1,351,13
338,lw,0,0,0,58,0,0,0,Mon,1,351,13
339,lw,0,0,0,58,0,0,0,Mon,1,351,13
340,lw,0,0,0,58,1,0,0,Mon,1,351,13
341,rw,0,0,0,58,0,0,0,Mon,1,351,13
342,lw,0,0,0,58,1,0,0,Mon,1,351,13
343,ls,0,0,0,58,1,0,0,Mon,1,351,13
344,rw,0,0,0,58,1,0,0,Mon,1,351,13
345,rw,0,0,0,58,1,0,0,Mon,1,351,13
346,rw,0,0,0,58,1,0,0,Mon,1,351,13
347,ls,0,0,0,58,0,0,0,Mon,1,351,13
348,rw,0,0,0,58,1,0,0,Mon,1,351,13
349,rw,0,0,0,58,1,0,0,Mon,1,351,13
350,rw,0,0,0,59,0,0,0,Mon,1,351,2
351,lw,0,0,0,59,1,0,0,Mon,1,351,2
352,ls,0,0,0,40,1,0,0,Tue,1,334,12
353,ls,0,0,0,40,0,0,0,Tue,1,334,12
354,ls,0,0,0,40,1,0,0,Tue,1,334,12
355,ls,0,0,0,40,1,0,0,Tue,1,334,12
356,ls,0,0,0,40,0,0,0,Tue,1,334,12
357,rw,0,0,0,40,0,0,0,Tue,1,334,12
358,ls,0,0,0,40,0,0,0,Tue,1,334,12
359,ls,0,0,0,40,1,0,0,Tue,1,334,12
360,ls,0,0,0,40,1,0,0,Tue,1,334,12
361,ls,0,0,0,40,1,0,0,Tue,1,334,12
362,ls,0,0,0,40,0,0,0,Tue,1,334,12
363,ls,0,0,0,40,1,0,0,Tue,1,334,12
364,ls,0,0,0,41,0,0,0,Tue,1,334,16
365,lw,0,0,0,41,0,0,0,Tue,1,334,16
366,ls,0,0,0,41,1,0,0,Tue,1,334,16
367,ls,0,0,0,41,1,0,0,Tue,1,334,16
368,ls,0,0,0,41,1,0,0,Tue,1,334,16
369,ls,0,0,0,41,0,0,0,Tue,1,334,16
370,ls,0,0,0,41,0,0,0,Tue,1,334,16
371,ls,0,0,0,41,0,0,0,Tue,1,334,16
372,ls,0,0,0,41,1,0,0,Tue,1,334,16
373,ls,0,0,0,41,0,0,0,Tue,1,334,16
374,ls,0,0,0,41,1,0,0,Tue,1,334,16
375,ls,0,0,0,41,1,0,0,Tue,1,334,16
376,ls,0,0,0,41,0,0,0,Tue,1,334,16
377,ls,0,0,0,41,1,0,0,Tue,1,334,16
378,ls,0,0,0,41,1,0,0,Tue,1,334,16
379,ls,0,0,0,41,1,0,0,Tue,1,334,16
380,rw,0,0,0,42,1,0,0,Tue,1,334,14
381,ls,0,0,0,42,1,0,0,Tue,1,334,14
382,ls,0,0,0,42,1,0,0,Tue,1,334,14
383,ls,0,0,0,42,1,0,0,Tue,1,334,14
384,ls,0,0,0,42,1,0,0,Tue,1,334,14
385,ls,0,0,0,42,0,0,0,Tue,1,334,14
386,ls,0,0,0,42,1,0,0,Tue,1,334,14
387,ls,0,0,0,42,1,0,0,Tue,1,334,14
388,ls,0,0,0,42,1,0,0,Tue,1,334,14
389,ls,0,0,0,42,0,0,0,Tue,1,334,14
390,ls,0,0,0,42,1,0,0,Tue,1,334,14
391,ls,0,0,0,42,1,0,0,Tue,1,334,14
392,ls,0,0,0,42,0,0,0,Tue,1,334,14
393,ls,0,0,0,42,0,0,0,Tue,1,334,14
394,rw,0,0,0,43,0,0,0,Tue,1,334,16
395,rw,0,0,0,43,0,0,0,Tue,1,334,16
396,ls,0,0,0,43,1,0,0,Tue,1,334,16
397,ls,0,0,0,43,1,0,0,Tue,1,334,16
398,ls,0,0,0,43,1,0,0,Tue,1,334,16
399,rw,0,0,0,43,0,0,0,Tue,1,334,16
400,ls,0,0,0,43,0,0,0,Tue,1,334,16
401,ls,0,0,0,43,0,0,0,Tue,1,334,16
402,ls,0,0,0,43,0,0,0,Tue,1,334,16
403,ls,0,0,0,43,0,0,0,Tue,1,334,16
404,ls,0,0,0,43,0,0,0,Tue,1,334,16
405,ls,0,0,0,43,1,0,0,Tue,1,334,16
406,ls,0,0,0,43,0,0,0,Tue,1,334,16
407,ls,0,0,0,43,0,0,0,Tue,1,334,16
408,ls,0,0,0,43,1,0,0,Tue,1,334,16
409,ls,0,0,0,43,1,0,0,Tue,1,334,16
410,ls,0,0,0,44,1,0,0,Tue,1,334,33
411,ls,0,0,0,44,0,0,0,Tue,1,334,33
412,ls,0,0,0,44,0,0,0,Tue,1,334,33
413,ls,0,0,0,44,1,0,0,Tue,1,334,33
414,ls,0,0,0,44,0,0,0,Tue,1,334,33
415,ls,0,0,0,44,1,0,0,Tue,1,334,33
416,ls,0,0,0,44,0,0,0,Tue,1,334,33
417,ls,0,0,0,44,1,0,0,Tue,1,334,33
418,ls,0,0,0,44,1,0,0,Tue,1,334,33
419,ls,0,0,0,44,1,0,0,Tue,1,334,33
420,ls,0,0,0,44,0,0,0,Tue,1,334,33
421,ls,0,0,0,44,0,0,0,Tue,1,334,33
422,rw,0,0,0,44,0,0,0,Tue,1,334,33
