id,ride_style,speed,poster,staff,time,is_female,is_assistant,is_raining,day,week,total_passenger
296,ls,0,0,0,53,0,0,0,Mon,0,351
297,ls,0,0,0,53,1,0,0,Mon,0,351
298,rw,0,0,0,53,0,0,0,Mon,0,351
299,ls,0,0,0,53,1,0,0,Mon,0,351
300,ls,0,0,0,53,0,0,0,Mon,0,351
301,rw,0,0,0,53,0,0,0,Mon,0,351
302,lw,0,0,0,53,0,0,0,Mon,0,351
303,rw,0,0,0,53,1,0,0,Mon,0,351
304,rw,0,0,0,53,0,0,0,Mon,0,351
305,rw,0,0,0,53,0,0,0,Mon,0,351
306,rw,0,0,0,53,1,0,0,Mon,0,351
307,rw,0,0,0,53,1,0,0,Mon,0,351
308,rw,0,0,0,53,1,0,0,Mon,0,351
309,lw,0,0,0,53,1,0,0,Mon,0,351
310,rw,0,0,0,53,0,0,0,Mon,0,351
311,rw,0,0,0,53,1,0,0,Mon,0,351
312,rw,0,0,0,53,0,0,0,Mon,0,351
313,ls,0,0,0,53,0,0,0,Mon,0,351
314,ls,0,0,0,53,1,0,0,Mon,0,351
315,ls,0,0,0,53,0,0,0,Mon,0,351
316,rw,0,0,0,53,1,0,0,Mon,0,351
317,rw,0,0,0,54,0,0,0,Mon,0,351
318,lw,0,0,0,54,1,0,0,Mon,0,351
319,lw,0,0,0,54,1,0,0,Mon,0,351
320,rw,0,0,0,54,0,0,0,Mon,0,351
321,rw,0,0,0,55,1,0,0,Mon,0,351
322,rw,0,0,0,55,1,0,0,Mon,0,351
323,ls,0,0,0,55,1,0,0,Mon,0,351
324,ls,0,0,0,55,1,0,0,Mon,0,351
325,ls,0,0,0,55,0,0,0,Mon,0,351
326,ls,0,0,0,55,0,0,0,Mon,0,351
327,ls,0,0,0,55,0,0,0,Mon,0,351
328,ls,0,0,0,55,1,0,0,Mon,0,351
329,ls,0,0,0,55,1,0,0,Mon,0,351
330,rw,0,0,0,56,0,0,0,Mon,0,351
331,ls,0,0,0,56,1,0,0,Mon,0,351
332,lw,0,0,0,56,0,0,0,Mon,0,351
333,lw,0,0,0,56,1,0,0,Mon,0,351
334,lw,0,0,0,57,1,0,0,Mon,0,351
335,ls,0,0,0,57,1,0,0,Mon,0,351
336,ls,0,0,0,57,1,0,0,Mon,0,351
337,lw,0,0,0,58,0,0,0,Mon,0,351
338,lw,0,0,0,58,0,0,0,Mon,0,351
339,lw,0,0,0,58,0,0,0,Mon,0,351
340,lw,0,0,0,58,1,0,0,Mon,0,351
341,rw,0,0,0,58,0,0,0,Mon,0,351
342,lw,0,0,0,58,1,0,0,Mon,0,351
343,ls,0,0,0,58,1,0,0,Mon,0,351
344,rw,0,0,0,58,1,0,0,Mon,0,351
345,rw,0,0,0,58,1,0,0,Mon,0,351
346,rw,0,0,0,58,1,0,0,Mon,0,351
347,ls,0,0,0,58,0,0,0,Mon,0,351
348,rw,0,0,0,58,1,0,0,Mon,0,351
349,rw,0,0,0,58,1,0,0,Mon,0,351
350,rw,0,0,0,59,0,0,0,Mon,0,351
351,lw,0,0,0,59,1,0,0,Mon,0,351
352,ls,0,0,0,40,1,0,0,Tue,0,334
353,ls,0,0,0,40,0,0,0,Tue,0,334
354,ls,0,0,0,40,1,0,0,Tue,0,334
